S_Label,S_Code,S_CUI,S_Depth,Pre_Label,Pre-Code,Pre_CUI,Pre_Depth,Post_Label,Post_Code,Post_CUI,Post_Depth
Sensorineural hearing loss,389.1,C0018784,5,Sensorineural hearing loss,389.1,C0018784,5,"Hearing Loss, Sensorineural",D006319,C0018784,8
"Sensorineural hearing loss, unspecified",389.10,C0018784,6,Sensorineural hearing loss,389.1,C0018784,5,"Hearing Loss, Sensorineural",D006319,C0018784,8
"Sensory hearing loss, bilateral",389.11,C1719452,6,Sensorineural hearing loss,389.1,C0018784,5,"Hearing Loss, Sensorineural",D006319,C0018784,8
"Neural hearing loss, bilateral",389.12,C1719453,6,Sensorineural hearing loss,389.1,C0018784,5,"Hearing Loss, Sensorineural",D006319,C0018784,8
"Neural hearing loss, unilateral",389.13,C1955773,6,Sensorineural hearing loss,389.1,C0018784,5,"Hearing Loss, Sensorineural",D006319,C0018784,8
Central hearing loss,389.14,C0018776,6,Sensorineural hearing loss,389.1,C0018784,5,"Hearing Loss, Sensorineural",D006319,C0018784,8
"Sensorineural hearing loss, unilateral",389.15,C0744667,6,Sensorineural hearing loss,389.1,C0018784,5,"Hearing Loss, Sensorineural",D006319,C0018784,8
"Sensorineural hearing loss, asymmetrical",389.16,C1719455,6,Sensorineural hearing loss,389.1,C0018784,5,"Hearing Loss, Sensorineural",D006319,C0018784,8
"Sensory hearing loss, unilateral",389.17,C1955774,6,Sensorineural hearing loss,389.1,C0018784,5,"Hearing Loss, Sensorineural",D006319,C0018784,8
"Sensorineural hearing loss, bilateral",389.18,C0452138,6,Sensorineural hearing loss,389.1,C0018784,5,"Hearing Loss, Sensorineural",D006319,C0018784,8
Mixed conductive and sensorineural hearing loss,389.2,C0155552,5,Hearing loss,389,C1384666,4,Hearing Loss,D034381,C1384666,7
"Mixed hearing loss, unspecified",389.20,C0155552,6,Hearing loss,389,C1384666,4,Hearing Loss,D034381,C1384666,7
"Mixed hearing loss, unilateral",389.21,C1955775,6,Hearing loss,389,C1384666,4,Hearing Loss,D034381,C1384666,7
"Mixed hearing loss, bilateral",389.22,C0452153,6,Hearing loss,389,C1384666,4,Hearing Loss,D034381,C1384666,7
"Deaf, nonspeaking, not elsewhere classifiable",389.7,C1955777,5,Hearing loss,389,C1384666,4,Hearing Loss,D034381,C1384666,7
Other specified forms of hearing loss,389.8,C0477458,5,Hearing loss,389,C1384666,4,Hearing Loss,D034381,C1384666,7
Unspecified hearing loss,389.9,C1384666,5,Unspecified hearing loss,389.9,C1384666,5,Hearing Loss,D034381,C1384666,7
Other operations on vessels,39,C0161894,3,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Systemic to pulmonary artery shunt,39.0,C0190388,4,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Intra-abdominal venous shunt,39.1,C0021859,4,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Other shunt or vascular bypass,39.2,C0176677,4,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Caval-pulmonary artery anastomosis,39.21,C0190763,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Aorta-subclavian-carotid bypass,39.22,C0176678,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Other intrathoracic vascular shunt or bypass,39.23,C0176679,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Aorta-renal bypass,39.24,C0176680,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Aorta-iliac-femoral bypass,39.25,C0190431,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Other intra-abdominal vascular shunt or bypass,39.26,C0176681,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Arteriovenostomy for renal dialysis,39.27,C0189693,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Extracranial-intracranial (EC-IC) vascular bypass,39.28,C0176682,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Other (peripheral) vascular shunt or bypass,39.29,C0029480,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Suture of vessel,39.3,C0176683,4,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Suture of unspecified blood vessel,39.30,C0002998,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Suture of artery,39.31,C0398053,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Suture of vein,39.32,C0031548,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Revision of vascular procedure,39.4,C0189700,4,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Control of hemorrhage following vascular surgery,39.41,C0189577,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Revision of arteriovenous shunt for renal dialysis,39.42,C2937354,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Removal of arteriovenous shunt for renal dialysis,39.43,C0189649,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Other revision of vascular procedure,39.49,C0176685,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Other repair of vessels,39.5,C0029725,4,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Angioplasty of other non-coronary vessel(s),39.50,C1456093,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Clipping of aneurysm,39.51,C0189711,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Other repair of aneurysm,39.52,C0176686,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Repair of arteriovenous fistula,39.53,C0189662,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Re-entry operation (aorta),39.54,C0190368,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Reimplantation of aberrant renal vessel,39.55,C0194204,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Repair of blood vessel with tissue patch graft,39.56,C0176688,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Repair of blood vessel with synthetic patch graft,39.57,C0176689,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Repair of blood vessel with unspecified type of patch graft,39.58,C0176690,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Other repair of vessel,39.59,C0029725,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Extracorporeal circulation and procedures auxiliary to heart surgery,39.6,C0375956,4,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Extracorporeal circulation auxiliary to open heart surgery,39.61,C0015355,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Hypothermia (systemic) incidental to open heart surgery,39.62,C0189746,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Cardioplegia,39.63,C0018791,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Intraoperative cardiac pacemaker,39.64,C0199655,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Extracorporeal membrane oxygenation [ECMO],39.65,C0015357,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Percutaneous cardiopulmonary bypass,39.66,C0176692,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Endovascular procedures on vessel(s),39.7,C2712690,4,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Endovascular implantation of other graft in abdominal aorta,39.71,C0994526,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Endovascular (total) embolization or occlusion of head and neck vessels,39.72,C2712579,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Endovascular implantation of graft in thoracic aorta,39.73,C1561903,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Endovascular removal of obstruction from head and neck vessel(s),39.74,C1719716,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Endovascular embolization or occlusion of vessel(s) of head or neck using bare coils,39.75,C2712534,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Endovascular embolization or occlusion of vessel(s) of head or neck using bioactive coils,39.76,C2712580,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Temporary (partial) therapeutic endovascular occlusion of vessel,39.77,C3161275,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Endovascular implantation of branching or fenestrated graft(s) in aorta,39.78,C3161276,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Other endovascular procedures on other vessels,39.79,C2712581,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
"Operations on carotid body, carotid sinus and other vascular bodies",39.8,C0176693,4,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
"Implantation or replacement of carotid sinus stimulation device, total system",39.81,C2921050,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Implantation or replacement of carotid sinus stimulation lead(s) only,39.82,C2921051,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Implantation or replacement of carotid sinus stimulation pulse generator only,39.83,C2921052,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Revision of carotid sinus stimulation lead(s) only,39.84,C2921054,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Revision of carotid sinus stimulation pulse generator,39.85,C2921060,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
"Removal of carotid sinus stimulation device, total system",39.86,C2921061,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Removal of carotid sinus stimulation lead(s) only,39.87,C2921062,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Removal of carotid sinus stimulation pulse generator only,39.88,C2921063,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
"Other operations on carotid body, carotid sinus and other vascular bodies",39.89,C2921064,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Other operations on vessels,39.9,C0161894,4,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Insertion of non-drug-eluting peripheral (non-coronary) vessel stent(s),39.90,C2712582,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Freeing of vessel,39.91,C0176694,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Injection of sclerosing agent into vein,39.92,C0021482,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Insertion of vessel-to-vessel cannula,39.93,C0189622,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Replacement of vessel-to-vessel cannula,39.94,C0176695,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Hemodialysis,39.95,C0019004,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Total body perfusion,39.96,C0189635,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Other perfusion,39.97,C0029704,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
"Control of hemorrhage, not otherwise specified",39.98,C0149533,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Other operations on vessels,39.99,C0161894,5,OPERATIONS ON THE CARDIOVASCULAR SYSTEM,35-39.99,C0038897,2,Cardiovascular Surgical Procedures,D013504,C0038897,5
Rheumatic fever without mention of heart involvement,390,C0264743,4,ACUTE RHEUMATIC FEVER,390-392.99,C0035436,3,Rheumatic Fever,D012213,C0035436,6
ACUTE RHEUMATIC FEVER,390-392.99,C0035436,3,ACUTE RHEUMATIC FEVER,390-392.99,C0035436,3,Rheumatic Fever,D012213,C0035436,6
Rheumatic fever with heart involvement,391,C0035439,4,ACUTE RHEUMATIC FEVER,390-392.99,C0035436,3,Rheumatic Fever,D012213,C0035436,6
Acute rheumatic pericarditis,391.0,C0155555,5,ACUTE RHEUMATIC FEVER,390-392.99,C0035436,3,Rheumatic Fever,D012213,C0035436,6
Acute rheumatic endocarditis,391.1,C0155556,5,ACUTE RHEUMATIC FEVER,390-392.99,C0035436,3,Rheumatic Fever,D012213,C0035436,6
Acute rheumatic myocarditis,391.2,C0155557,5,ACUTE RHEUMATIC FEVER,390-392.99,C0035436,3,Rheumatic Fever,D012213,C0035436,6
Other acute rheumatic heart disease,391.8,C0155558,5,ACUTE RHEUMATIC FEVER,390-392.99,C0035436,3,Rheumatic Fever,D012213,C0035436,6
"Acute rheumatic heart disease, unspecified",391.9,C0035440,5,ACUTE RHEUMATIC FEVER,390-392.99,C0035436,3,Rheumatic Fever,D012213,C0035436,6
Rheumatic chorea,392,C0152113,4,ACUTE RHEUMATIC FEVER,390-392.99,C0035436,3,Rheumatic Fever,D012213,C0035436,6
Rheumatic chorea with heart involvement,392.0,C0155559,5,ACUTE RHEUMATIC FEVER,390-392.99,C0035436,3,Rheumatic Fever,D012213,C0035436,6
Rheumatic chorea without mention of heart involvement,392.9,C0489958,5,ACUTE RHEUMATIC FEVER,390-392.99,C0035436,3,Rheumatic Fever,D012213,C0035436,6
"Rheumatic heart disease, unspecified",398.90,C0035439,6,"Rheumatic heart disease, unspecified",398.90,C0035439,6,Rheumatic Heart Disease,D012214,C0035439,6
Essential hypertension,401,C0085580,4,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Malignant essential hypertension,401.0,C0024588,5,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Benign essential hypertension,401.1,C0155583,5,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Unspecified essential hypertension,401.9,C0085580,5,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
HYPERTENSIVE DISEASE,401-405.99,C0020538,3,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Hypertensive heart disease,402,C0152105,4,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Malignant hypertensive heart disease,402.0,C0155584,5,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Malignant hypertensive heart disease without heart failure,402.00,C1135328,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Malignant hypertensive heart disease with heart failure,402.01,C1135329,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Benign hypertensive heart disease,402.1,C0155587,5,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Benign hypertensive heart disease without heart failure,402.10,C1135330,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Benign hypertensive heart disease with heart failure,402.11,C1135331,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Unspecified hypertensive heart disease,402.9,C0152105,5,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Unspecified hypertensive heart disease without heart failure,402.90,C1135332,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Unspecified hypertensive heart disease with heart failure,402.91,C1135333,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Hypertensive chronic kidney disease,403,C1719463,4,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive chronic kidney disease, malignant",403.0,C1719462,5,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage I through stage IV, or unspecified",403.00,C1719460,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive chronic kidney disease, malignant, with chronic kidney disease stage V or end stage renal disease",403.01,C1719461,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive renal disease, benign",403.1,C0155596,5,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage I through stage IV, or unspecified",403.10,C0155596,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive chronic kidney disease, benign, with chronic kidney disease stage V or end stage renal disease",403.11,C0155598,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive renal disease, unspecified",403.9,C0848548,5,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage I through stage IV, or unspecified",403.90,C0494574,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive chronic kidney disease, unspecified, with chronic kidney disease stage V or end stage renal disease",403.91,C0348860,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Hypertensive heart and chronic kidney disease,404,C1719469,4,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive heart and chronic kidney disease, malignant",404.0,C1719468,5,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified",404.00,C1719464,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",404.01,C1719465,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive heart and chronic kidney disease, malignant, without heart failure and with chronic kidney disease stage V or end stage renal disease",404.02,C1719466,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive heart and chronic kidney disease, malignant, with heart failure and with chronic kidney disease stage V or end stage renal disease",404.03,C1719467,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive heart and renal disease, benign",404.1,C0155607,5,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive heart and chronic kidney disease, benign, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified",404.10,C0155608,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive heart and chronic kidney disease, benign, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",404.11,C0155609,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive heart and chronic kidney disease, benign, without heart failure and with chronic kidney disease stage V or end stage renal disease",404.12,C0155610,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive heart and chronic kidney disease, benign, with heart failure and chronic kidney disease stage V or end stage renal disease",404.13,C0155611,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive heart and renal disease, unspecified",404.9,C0155601,5,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage I through stage IV, or unspecified",404.90,C0155612,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and with chronic kidney disease stage I through stage IV, or unspecified",404.91,C0494575,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive heart and chronic kidney disease, unspecified, without heart failure and with chronic kidney disease stage V or end stage renal disease",404.92,C0348879,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Hypertensive heart and chronic kidney disease, unspecified, with heart failure and chronic kidney disease stage V or end stage renal disease",404.93,C0494576,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Secondary hypertension,405,C0155616,4,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Malignant secondary hypertension,405.0,C0155617,5,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Malignant renovascular hypertension,405.01,C0264643,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Other malignant secondary hypertension,405.09,C0155619,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Benign secondary hypertension,405.1,C0155620,5,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Benign renovascular hypertension,405.11,C0155621,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Other benign secondary hypertension,405.19,C0155622,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Unspecified secondary hypertension,405.9,C0155616,5,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Unspecified renovascular hypertension,405.91,C0155624,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
Other unspecified secondary hypertension,405.99,C0348586,6,HYPERTENSIVE DISEASE,401-405.99,C0020538,3,Hypertension,D006973,C0020538,6
"Bone marrow transplant, not otherwise specified",41.00,C0005961,5,"Bone marrow transplant, not otherwise specified",41.00,C0005961,5,Bone Marrow Transplantation,D016026,C0005961,7
Cord blood stem cell transplant,41.06,C1135976,5,Cord blood stem cell transplant,41.06,C1135976,5,Cord Blood Stem Cell Transplantation,D036101,C1135976,8
Acute myocardial infarction,410,C0155626,4,ISCHEMIC HEART DISEASE,410-414.99,C0151744,3,Myocardial Ischemia,D017202,C0151744,6
"Acute myocardial infarction, of anterolateral wall",410.0,C0155627,5,ISCHEMIC HEART DISEASE,410-414.99,C0151744,3,Myocardial Ischemia,D017202,C0151744,6
"Acute myocardial infarction of anterolateral wall, episode of care unspecified",410.00,C0155628,6,ISCHEMIC HEART DISEASE,410-414.99,C0151744,3,Myocardial Ischemia,D017202,C0151744,6
"Acute myocardial infarction of anterolateral wall, initial episode of care",410.01,C0155629,6,ISCHEMIC HEART DISEASE,410-414.99,C0151744,3,Myocardial Ischemia,D017202,C0151744,6
